,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
89,89,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
90,90,lulesh,INVALID,0.743489,1,0.0,0,-1.0,-1.0,-1.0,-1.0
91,91,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
92,92,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
93,93,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
94,94,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
95,95,lulesh,INVALID,0.757036,1,0.0,0,-1.0,-1.0,-1.0,-1.0
96,96,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
97,97,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
98,98,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
99,99,lulesh,INVALID,15.262828,1,0.0082723544720693,0,-1.0,-1.0,-1.0,-1.0
100,100,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
101,101,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
102,102,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
103,103,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
104,104,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
105,105,lulesh,VALID,15.888668999999998,1,9.9444692750694e-05,1,-1.0,-1.0,-1.0,-1.0
106,106,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
107,107,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
108,108,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
109,109,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
110,110,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
111,111,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
112,112,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
113,113,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
114,114,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
115,115,lulesh,INVALID,15.254324,1,0.024485863201789,0,-1.0,-1.0,-1.0,-1.0
116,116,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
117,117,lulesh,INVALID,15.627552,1,0.017068808811018,0,-1.0,-1.0,-1.0,-1.0
118,118,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
119,119,lulesh,INVALID,15.600137,1,0.00036317701597,0,-1.0,-1.0,-1.0,-1.0
120,120,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
121,121,lulesh,INVALID,15.55171,1,0.00053106156701688,0,-1.0,-1.0,-1.0,-1.0
122,122,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
123,123,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
124,124,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
125,125,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
126,126,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
127,127,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
128,128,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
