,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred
219,219,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
220,220,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
221,221,cg,VALID,1.0511195999999998,1, 1.7130235671997E+01,1,1.0,1.0
222,222,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
223,223,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
224,224,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
225,225,cg,INVALID,1.325674,1, 1.3275024890900E+00,0,1.0,1.0
226,226,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
227,227,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
228,228,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
229,229,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
230,230,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
231,231,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
232,232,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
233,233,cg,VALID,1.1667139,1, 1.7129573822021E+01,1,1.0,1.0
234,234,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
235,235,cg,INVALID,1.260116,1, 1.2649824142456E+01,0,1.0,1.0
236,236,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
237,237,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
238,238,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
239,239,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
240,240,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
241,241,cg,INVALID,1.244562,1,                -NAN,0,1.0,1.0
242,242,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
243,243,cg,INVALID,1.203485,1,-2.4544379899497E+32,0,1.0,1.0
244,244,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
245,245,cg,INVALID,1.154177,1,                -NAN,0,1.0,1.0
246,246,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
247,247,cg,VALID,1.0782695,1, 1.7130235671997E+01,1,1.0,1.0
248,248,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
249,249,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
250,250,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
251,251,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
252,252,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
253,253,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
254,254,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
255,255,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
256,256,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
257,257,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
258,258,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
259,259,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
260,260,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
261,261,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
262,262,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
263,263,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
264,264,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
265,265,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
266,266,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
267,267,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
268,268,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
269,269,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
270,270,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
271,271,cg,INVALID,1.192593,1,                -NAN,0,1.0,1.0
272,272,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
273,273,cg,VALID,1.2861841999999999,1, 1.7130235671997E+01,1,1.0,1.0
274,274,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
275,275,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
276,276,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
277,277,cg,VALID,1.2774098,1, 1.7130235671997E+01,1,1.0,1.0
278,278,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
279,279,cg,VALID,1.1390547,1, 1.7130235671997E+01,1,1.0,1.0
280,280,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
281,281,cg,INVALID,1.332612,1, 7.1265898437500E+03,0,1.0,1.0
282,282,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
283,283,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
284,284,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
285,285,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
286,286,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
287,287,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
288,288,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
289,289,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
290,290,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
291,291,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
292,292,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
