,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
100,100,spec_lbm,VALID,156.690670295,1,4.1464777885906E-08,1,1.0,1.0,0.5002214312553406,0.8488418459892273
101,101,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5212781429290771,0.0014527811435982585
102,102,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.49892526865005493,0.15167029201984406
103,103,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225513577461243,9.545103966956958e-05
104,104,spec_lbm,VALID,156.197498371,1,5.6073044327983E-08,1,1.0,1.0,0.4984602928161621,0.862502932548523
105,105,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
106,106,spec_lbm,VALID,156.979268248,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
107,107,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
108,108,spec_lbm,VALID,159.319154069,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
109,109,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
110,110,spec_lbm,VALID,158.297599821,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
111,111,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
112,112,spec_lbm,VALID,154.886989442,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
113,113,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5179778933525085,0.0014002042589709163
114,114,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.503207802772522,0.0921621173620224
115,115,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5217234492301941,0.0001300458243349567
116,116,spec_lbm,INVALID,155.826428076,1,3.3752227021174E-07,0,1.0,1.0,0.49999916553497314,0.7105350494384766
117,117,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
118,118,spec_lbm,VALID,156.15192879,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
119,119,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5253193974494934,0.00010577598004601896
120,120,spec_lbm,VALID,154.010690464,1,5.6073044327983E-08,1,1.0,1.0,0.4964461922645569,0.9133419990539551
121,121,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5205402374267578,8.085891749942675e-05
122,122,spec_lbm,VALID,165.6951787,1,4.8645448519536E-08,1,1.0,1.0,0.5023411512374878,0.8861297965049744
123,123,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5053654313087463,0.00016122526722028852
124,124,spec_lbm,INVALID,160.761744258,1,2.0155710224947E-07,0,1.0,1.0,0.5121921300888062,0.46278756856918335
125,125,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
126,126,spec_lbm,VALID,155.377095421,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
127,127,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
128,128,spec_lbm,VALID,171.590730481,0,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
129,129,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
130,130,spec_lbm,VALID,170.881824303,0,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
131,131,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
132,132,spec_lbm,VALID,158.695021919,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
133,133,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
134,134,spec_lbm,VALID,152.59805602,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
135,135,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
136,136,spec_lbm,VALID,151.768464509,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
137,137,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5201142430305481,0.00013252206554170698
138,138,spec_lbm,VALID,154.927037843,1,5.2361536014343E-08,1,1.0,1.0,0.5018015503883362,0.7011750936508179
139,139,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5224994421005249,8.922323468141258e-05
140,140,spec_lbm,VALID,153.421438413,1,5.6036294773589E-08,1,1.0,1.0,0.49731147289276123,0.9239628911018372
141,141,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
142,142,spec_lbm,VALID,163.873372514,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
143,143,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654015982756391e-05
144,144,spec_lbm,VALID,154.38668507,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
145,145,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
146,146,spec_lbm,VALID,155.871710443,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
147,147,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5260488986968994,9.542828775011003e-05
148,148,spec_lbm,VALID,153.493493832,1,5.9824337617517E-08,1,1.0,1.0,0.49714088439941406,0.9041759371757507
149,149,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.522417426109314,8.602206071373075e-05
150,150,spec_lbm,VALID,150.512380629,1,3.7715689710000E-08,1,1.0,1.0,0.501143753528595,0.902665913105011
151,151,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5208961367607117,8.653380064060912e-05
152,152,spec_lbm,VALID,153.234488563,1,5.6067243368160E-08,1,1.0,1.0,0.4979800283908844,0.8993905186653137
153,153,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5228928327560425,0.0014591215876862407
154,154,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.49824509024620056,0.1985781490802765
155,155,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.522551417350769,9.545103966956958e-05
156,156,spec_lbm,VALID,155.876483862,1,5.6073044327983E-08,1,1.0,1.0,0.4984602928161621,0.862502932548523
