,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
152,152,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.16351652145385742,0.08640526980161667
153,153,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,1.0,0.31280502676963806,0.484360933303833
154,154,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.16955360770225525,0.07550158351659775
155,155,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,1.0,0.2955511510372162,0.4385174810886383
156,156,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.41856998205184937,0.07104451954364777
157,157,spec_lbm,VALID,160.15357835,1,2.6093657549698E-08,1,1.0,1.0,0.5305721759796143,0.4721109867095947
158,158,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4209109842777252,0.06961854547262192
159,159,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5273562073707581,0.35329869389533997
160,160,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.443060040473938,0.09144538640975952
161,161,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.532454788684845,0.3700519800186157
162,162,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4677596688270569,0.08504485338926315
163,163,spec_lbm,INVALID,162.81943296,1,9.8329783682788E-06,0,1.0,1.0,0.5256499648094177,0.533301055431366
164,164,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.41739508509635925,0.06642059981822968
165,165,spec_lbm,VALID,157.569217884,1,5.6073044327983E-08,1,1.0,1.0,0.576056718826294,0.6100394129753113
166,166,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.1720084547996521,0.07106312364339828
167,167,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,1.0,0.31667444109916687,0.5556620955467224
168,168,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.15725542604923248,0.08590972423553467
169,169,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,1.0,0.332271546125412,0.4929068982601166
170,170,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4392358958721161,0.06494315713644028
171,171,spec_lbm,INVALID,164.644607662,1,1.7574457368173E-07,0,1.0,1.0,0.5449041724205017,0.5148066878318787
172,172,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.41182416677474976,0.06902557611465454
173,173,spec_lbm,VALID,157.036880135,1,1.5018930121204E-08,1,1.0,1.0,0.5773205161094666,0.5491677522659302
174,174,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.44954371452331543,0.07147082686424255
175,175,spec_lbm,INVALID,158.633309492,1,2.0024085103627E-07,0,1.0,1.0,0.5101746916770935,0.4639827609062195
176,176,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.41500988602638245,0.06533089280128479
177,177,spec_lbm,VALID,153.276992056,1,1.5018930121204E-08,1,1.0,1.0,0.5587210059165955,0.486437052488327
178,178,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4407569169998169,0.07520771771669388
179,179,spec_lbm,INVALID,153.976565497,1,1.9622761662288E-07,0,1.0,1.0,0.5346745252609253,0.4324069321155548
180,180,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.41099831461906433,0.08594106882810593
181,181,spec_lbm,INVALID,155.591841107,1,1.6814995898546E-07,0,1.0,1.0,0.5443990230560303,0.5060043931007385
182,182,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4397558271884918,0.06589390337467194
183,183,spec_lbm,INVALID,166.393401372,1,3.7393286066405E-05,0,1.0,1.0,0.5150899887084961,0.5772097706794739
184,184,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.41739508509635925,0.06642059981822968
185,185,spec_lbm,VALID,161.682210355,1,5.6073044327983E-08,1,1.0,1.0,0.576056718826294,0.6100394129753113
186,186,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4190031886100769,0.059784457087516785
187,187,spec_lbm,VALID,155.986138222,1,1.5018930121204E-08,1,1.0,1.0,0.5744422674179077,0.6364116668701172
188,188,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.1720084547996521,0.07106312364339828
189,189,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,1.0,0.31667444109916687,0.5556620955467224
190,190,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.17218203842639923,0.07177288830280304
191,191,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,1.0,0.3047742247581482,0.545413613319397
