,benchmark,label,runtime,runtime_label,error,error_label
193,lulesh,FAIL,9999.0,0,,0
194,lulesh,FAIL,9999.0,0,,0
195,lulesh,FAIL,9999.0,0,,0
196,lulesh,FAIL,9999.0,0,,0
197,lulesh,FAIL,9999.0,0,,0
198,lulesh,FAIL,9999.0,0,,0
199,lulesh,FAIL,9999.0,0,,0
200,lulesh,FAIL,9999.0,0,,0
201,lulesh,FAIL,9999.0,0,,0
202,lulesh,FAIL,9999.0,0,,0
203,lulesh,FAIL,9999.0,0,,0
204,lulesh,FAIL,9999.0,0,,0
205,lulesh,INVALID,0.708644,1, 0.0000000000000E+00,0
206,lulesh,FAIL,9999.0,0,,0
207,lulesh,FAIL,9999.0,0,,0
208,lulesh,FAIL,9999.0,0,,0
209,lulesh,FAIL,9999.0,0,,0
210,lulesh,FAIL,9999.0,0,,0
211,lulesh,FAIL,9999.0,0,,0
212,lulesh,FAIL,9999.0,0,,0
213,lulesh,INVALID,12.844798,1, 1.1847879140987E-02,0
214,lulesh,FAIL,9999.0,0,,0
215,lulesh,INVALID,15.618286,1, 1.0999961668858E-03,0
216,lulesh,FAIL,9999.0,0,,0
217,lulesh,FAIL,9999.0,0,,0
218,lulesh,FAIL,9999.0,0,,0
219,lulesh,VALID,13.251594599999999,1, 3.2360398108722E-05,1
220,lulesh,FAIL,9999.0,0,,0
221,lulesh,FAIL,9999.0,0,,0
222,lulesh,FAIL,9999.0,0,,0
223,lulesh,FAIL,9999.0,0,,0
224,lulesh,FAIL,9999.0,0,,0
225,lulesh,FAIL,9999.0,0,,0
226,lulesh,FAIL,9999.0,0,,0
227,lulesh,INVALID,0.715593,1, 0.0000000000000E+00,0
228,lulesh,FAIL,9999.0,0,,0
229,lulesh,INVALID,24.873391,0, 1.7227695207112E-04,0
230,lulesh,FAIL,9999.0,0,,0
231,lulesh,FAIL,9999.0,0,,0
232,lulesh,FAIL,9999.0,0,,0
233,lulesh,FAIL,9999.0,0,,0
234,lulesh,FAIL,9999.0,0,,0
235,lulesh,INVALID,24.954453,0, 8.4425757813733E-04,0
236,lulesh,FAIL,9999.0,0,,0
237,lulesh,FAIL,9999.0,0,,0
238,lulesh,FAIL,9999.0,0,,0
239,lulesh,INVALID,19.128461,0, 2.4755868798820E-04,0
240,lulesh,FAIL,9999.0,0,,0
241,lulesh,FAIL,9999.0,0,,0
242,lulesh,FAIL,9999.0,0,,0
243,lulesh,VALID,15.426012799999999,1, 9.5477116701659E-06,1
244,lulesh,FAIL,9999.0,0,,0
245,lulesh,INVALID,13.132736,1, 1.1847879140987E-02,0
246,lulesh,FAIL,9999.0,0,,0
247,lulesh,FAIL,9999.0,0,,0
248,lulesh,FAIL,9999.0,0,,0
249,lulesh,FAIL,9999.0,0,,0
250,lulesh,FAIL,9999.0,0,,0
251,lulesh,FAIL,9999.0,0,,0
252,lulesh,FAIL,9999.0,0,,0
253,lulesh,FAIL,9999.0,0,,0
254,lulesh,FAIL,9999.0,0,,0
255,lulesh,FAIL,9999.0,0,,0
256,lulesh,FAIL,9999.0,0,,0
257,lulesh,FAIL,9999.0,0,,0
258,lulesh,FAIL,9999.0,0,,0
