,benchmark,label,runtime,runtime_label,error,error_label
858,lulesh,FAIL,9999.0,0,,0
859,lulesh,VALID,15.604585199999999,1, 7.5517411460169E-05,1
860,lulesh,FAIL,9999.0,0,,0
861,lulesh,VALID,16.015456399999998,1, 7.1487839704787E-05,1
862,lulesh,FAIL,9999.0,0,,0
863,lulesh,VALID,15.480578399999999,1, 5.2316243909445E-05,1
864,lulesh,FAIL,9999.0,0,,0
865,lulesh,INVALID,15.562241,1, 2.5345717585878E-04,0
866,lulesh,FAIL,9999.0,0,,0
867,lulesh,FAIL,9999.0,0,,0
868,lulesh,FAIL,9999.0,0,,0
869,lulesh,FAIL,9999.0,0,,0
870,lulesh,FAIL,9999.0,0,,0
871,lulesh,VALID,15.852774400000001,1, 8.5893574578222E-05,1
872,lulesh,FAIL,9999.0,0,,0
873,lulesh,INVALID,0.973089,1, 0.0000000000000E+00,0
874,lulesh,FAIL,9999.0,0,,0
875,lulesh,FAIL,9999.0,0,,0
876,lulesh,FAIL,9999.0,0,,0
877,lulesh,VALID,15.813696799999999,1, 6.7150307586417E-05,1
878,lulesh,FAIL,9999.0,0,,0
879,lulesh,VALID,15.5725214,1, 9.5984274594230E-05,1
880,lulesh,FAIL,9999.0,0,,0
881,lulesh,INVALID,15.45576,1, 4.3405541523953E-02,0
882,lulesh,FAIL,9999.0,0,,0
883,lulesh,INVALID,15.501728,1, 1.0052140351036E-04,0
884,lulesh,FAIL,9999.0,0,,0
885,lulesh,VALID,15.6327338,1, 5.3013418892078E-05,1
886,lulesh,FAIL,9999.0,0,,0
887,lulesh,FAIL,9999.0,0,,0
888,lulesh,FAIL,9999.0,0,,0
889,lulesh,FAIL,9999.0,0,,0
890,lulesh,FAIL,9999.0,0,,0
891,lulesh,FAIL,9999.0,0,,0
892,lulesh,FAIL,9999.0,0,,0
893,lulesh,FAIL,9999.0,0,,0
894,lulesh,FAIL,9999.0,0,,0
895,lulesh,INVALID,15.452889,1, 3.7092525417393E-04,0
896,lulesh,FAIL,9999.0,0,,0
897,lulesh,INVALID,15.691159,1, 3.1358256836711E-04,0
898,lulesh,FAIL,9999.0,0,,0
899,lulesh,INVALID,15.800115,1, 7.4390622153260E-03,0
900,lulesh,FAIL,9999.0,0,,0
901,lulesh,VALID,15.517216199999998,1, 8.5778430729988E-05,1
902,lulesh,FAIL,9999.0,0,,0
903,lulesh,INVALID,16.052814,1, 5.9552555831033E-04,0
904,lulesh,FAIL,9999.0,0,,0
905,lulesh,INVALID,16.263016,1, 2.1240277783965E+02,0
906,lulesh,FAIL,9999.0,0,,0
907,lulesh,INVALID,16.983241,1, 2.4867577344110E+02,0
908,lulesh,FAIL,9999.0,0,,0
909,lulesh,VALID,15.943146199999997,1, 5.9114132454852E-05,1
910,lulesh,FAIL,9999.0,0,,0
911,lulesh,VALID,15.6967352,1, 5.6870096159400E-05,1
912,lulesh,FAIL,9999.0,0,,0
913,lulesh,VALID,15.5104414,1, 7.4219897214789E-05,1
914,lulesh,FAIL,9999.0,0,,0
915,lulesh,VALID,15.8816826,1, 6.5882579747267E-05,1
916,lulesh,FAIL,9999.0,0,,0
917,lulesh,VALID,15.617883599999999,1, 6.3012432292453E-05,1
918,lulesh,FAIL,9999.0,0,,0
919,lulesh,INVALID,16.064265,1, 1.3345161642064E-04,0
920,lulesh,FAIL,9999.0,0,,0
921,lulesh,INVALID,15.692045,1, 7.6193440509087E-04,0
922,lulesh,FAIL,9999.0,0,,0
923,lulesh,INVALID,16.3769,1, 1.3310662270669E-03,0
924,lulesh,FAIL,9999.0,0,,0
925,lulesh,INVALID,15.412128,1, 2.1658172788989E-02,0
926,lulesh,FAIL,9999.0,0,,0
927,lulesh,INVALID,15.840089,1, 1.0058672256719E-02,0
928,lulesh,FAIL,9999.0,0,,0
929,lulesh,INVALID,15.781303,1, 2.0156413875497E-02,0
930,lulesh,FAIL,9999.0,0,,0
931,lulesh,INVALID,15.737603,1, 1.8786300419561E-01,0
932,lulesh,FAIL,9999.0,0,,0
933,lulesh,INVALID,15.694054,1, 3.0177911635406E-02,0
934,lulesh,FAIL,9999.0,0,,0
935,lulesh,INVALID,15.936582,1, 2.8631143686653E-03,0
936,lulesh,FAIL,9999.0,0,,0
937,lulesh,VALID,15.901304999999999,1, 4.8024132865976E-05,1
938,lulesh,FAIL,9999.0,0,,0
939,lulesh,INVALID,16.238853,1, 4.3818314625696E-02,0
940,lulesh,FAIL,9999.0,0,,0
941,lulesh,INVALID,15.371895,1, 7.4684404955860E-03,0
942,lulesh,FAIL,9999.0,0,,0
943,lulesh,INVALID,16.135691,1, 2.7171642068424E-04,0
944,lulesh,FAIL,9999.0,0,,0
945,lulesh,INVALID,15.825637,1, 1.4802677014814E-04,0
946,lulesh,FAIL,9999.0,0,,0
947,lulesh,VALID,15.8000976,1, 6.9409763000294E-05,1
948,lulesh,FAIL,9999.0,0,,0
949,lulesh,INVALID,15.568401,1, 2.1780902170576E-04,0
950,lulesh,FAIL,9999.0,0,,0
951,lulesh,VALID,15.5820684,1, 7.6401685873861E-05,1
952,lulesh,FAIL,9999.0,0,,0
953,lulesh,INVALID,16.095602,1, 2.5917993116309E-04,0
954,lulesh,FAIL,9999.0,0,,0
955,lulesh,INVALID,16.057385,1, 1.0083579763887E-04,0
956,lulesh,FAIL,9999.0,0,,0
957,lulesh,INVALID,15.812024,1, 1.1404451652197E-04,0
958,lulesh,FAIL,9999.0,0,,0
959,lulesh,INVALID,15.893581,1, 1.1502881898195E-04,0
960,lulesh,FAIL,9999.0,0,,0
961,lulesh,INVALID,16.162948,1, 4.1569641689421E-04,0
962,lulesh,FAIL,9999.0,0,,0
963,lulesh,VALID,15.5748246,1, 9.5207127742469E-05,1
964,lulesh,FAIL,9999.0,0,,0
965,lulesh,INVALID,15.841685,1, 2.5175187693094E-04,0
966,lulesh,FAIL,9999.0,0,,0
967,lulesh,INVALID,15.95342,1, 2.9211714718258E-04,0
968,lulesh,FAIL,9999.0,0,,0
969,lulesh,INVALID,1.858482,1, 0.0000000000000E+00,0
970,lulesh,FAIL,9999.0,0,,0
971,lulesh,FAIL,9999.0,0,,0
972,lulesh,FAIL,9999.0,0,,0
973,lulesh,VALID,15.643501599999999,1, 7.4307159593445E-05,1
974,lulesh,FAIL,9999.0,0,,0
